entry_id_to,answer_value_to,avg_yes,avg_christian
1284,0.0,0.0,0.0
492,0.0,0.0,0.041666666666666664
1471,0.0,0.0,0.11764705882352941
424,0.0,0.0,0.09090909090909091
997,0.0,0.0,0.0
1006,0.0,0.0,0.0
1008,0.0,0.0,0.0
1778,0.0,0.26666666666666666,0.2
970,1.0,0.05,0.05
1582,1.0,0.09523809523809523,0.047619047619047616
940,1.0,0.1,0.05
342,1.0,0.30434782608695654,0.17391304347826086
355,1.0,0.3181818181818182,0.13636363636363635
1357,1.0,0.2857142857142857,0.14285714285714285
859,0.0,0.3888888888888889,0.16666666666666666
933,0.0,0.3333333333333333,0.20833333333333334
1333,1.0,0.34782608695652173,0.2608695652173913
1124,0.0,0.0,0.0
1051,0.0,0.0,0.0
1069,0.0,0.0,0.0
2348,0.0,0.0,0.0
300,0.0,0.0,0.0
1258,0.0,0.0,0.25
2039,0.0,0.0,0.0
2187,0.0,0.0,0.16666666666666666
1683,0.0,0.0,0.125
1576,0.0,0.0,0.125
1924,0.0,0.0,0.125
2001,0.0,0.0,0.125
1581,0.0,0.0,0.16666666666666666
2190,0.0,0.0,0.1
1191,1.0,0.3333333333333333,0.0
927,0.0,0.23076923076923078,0.07692307692307693
1589,0.0,0.2,0.06666666666666667
2080,0.0,0.35294117647058826,0.23529411764705882
1367,0.0,0.3333333333333333,0.16666666666666666
1484,0.0,0.0,0.0
681,0.0,0.0,0.0
1429,0.0,0.0,0.0
1183,0.0,0.0,0.0
1574,0.0,0.0,0.0
1248,0.0,0.0,0.0
2280,0.0,0.0,0.0
2285,0.0,0.0,0.0
1375,0.0,0.0,0.0
1871,0.0,0.0,0.0
2055,0.0,0.0,0.0
1855,0.0,0.0,0.0
1677,0.0,0.0,0.0
788,0.0,0.0,0.0
1661,0.0,0.0,0.0
1898,0.0,0.0,0.0
1337,0.0,0.0,0.0
1189,0.0,0.0,0.0
308,0.0,0.0,0.0
1624,0.0,0.0,0.0
2191,0.0,0.0,0.0
1294,0.0,0.0,0.0
354,0.0,0.0,0.0
174,1.0,0.5,0.3
1983,1.0,0.45454545454545453,0.45454545454545453
2322,1.0,0.55,0.3
1903,1.0,0.5714285714285714,0.23809523809523808
2087,1.0,0.36363636363636365,0.36363636363636365
972,1.0,0.44,0.2
1737,0.0,0.4444444444444444,0.4444444444444444
1652,1.0,0.375,0.375
2272,1.0,0.75,0.16666666666666666
2263,0.0,0.8333333333333334,0.16666666666666666
1735,0.0,0.6666666666666666,0.13333333333333333
2057,0.0,0.0,0.0
2081,0.0,0.25,0.125
1546,0.0,0.2222222222222222,0.1111111111111111
2181,0.0,0.2,0.1
1290,0.0,0.18181818181818182,0.09090909090909091
2177,0.0,0.16666666666666666,0.08333333333333333
2071,0.0,0.25,0.08333333333333333
1322,0.0,0.43478260869565216,0.5217391304347826
361,0.0,0.0,0.0
2149,0.0,0.38461538461538464,0.38461538461538464
1993,0.0,0.0,0.0
196,1.0,0.4444444444444444,0.0
182,1.0,0.5,0.1
957,0.0,0.0,0.0
470,0.0,0.0,0.0
231,0.0,0.25,0.0
217,0.0,0.5,0.0
1309,1.0,0.6,0.6
442,1.0,0.5714285714285714,0.42857142857142855
1295,1.0,0.625,0.5
925,0.0,0.0,0.25
843,1.0,0.4,0.4
1626,0.0,0.0,0.0
993,1.0,0.0,0.0
1129,0.0,0.0,0.0
632,0.0,0.0,0.0
1989,0.0,0.0,0.0
1004,0.0,0.6666666666666666,0.0
1664,0.0,0.8,0.2
948,1.0,0.8,0.4
2118,0.0,0.36363636363636365,0.2727272727272727
965,1.0,0.5,0.5
994,1.0,0.5,0.5
1653,1.0,0.6666666666666666,0.3333333333333333
2140,0.0,0.4444444444444444,0.4444444444444444
1697,1.0,0.5625,0.4375
1044,0.0,0.0,0.0
1534,0.0,0.0,0.0
1324,1.0,0.0,0.0
1075,1.0,0.4166666666666667,0.0
1149,1.0,0.6153846153846154,0.0
1998,1.0,0.6428571428571429,0.0
1259,0.0,0.3333333333333333,0.0
2362,1.0,0.5714285714285714,0.19047619047619047
1847,0.0,0.0,0.0
983,1.0,0.42857142857142855,0.0
2313,1.0,0.5,0.0
2243,1.0,0.6666666666666666,0.0
946,0.0,0.6923076923076923,0.0
960,0.0,0.45454545454545453,0.0
472,0.0,0.42857142857142855,0.0
1349,0.0,0.5,0.0625
929,0.0,0.4444444444444444,0.05555555555555555
1352,0.0,0.0,0.0
971,0.0,0.3333333333333333,0.0
714,0.0,0.25,0.0
439,0.0,0.5833333333333334,0.08333333333333333
926,0.0,0.6363636363636364,0.09090909090909091
440,1.0,0.2,0.0
562,1.0,0.2,0.0
1540,0.0,0.3333333333333333,0.16666666666666666
645,1.0,0.25,0.0
383,0.0,0.125,0.0
592,0.0,0.3333333333333333,0.0
977,0.0,0.34615384615384615,0.07692307692307693
633,0.0,0.2,0.0
966,1.0,0.2857142857142857,0.07142857142857142
1763,0.0,0.2413793103448276,0.034482758620689655
381,1.0,0.2222222222222222,0.0
358,1.0,0.2857142857142857,0.0
1013,1.0,0.0,0.0
1308,0.0,0.0,0.0
1268,1.0,0.0,0.3333333333333333
1338,1.0,0.6363636363636364,0.6363636363636364
1356,1.0,0.6,0.5333333333333333
1401,0.0,0.5384615384615384,0.38461538461538464
2143,1.0,1.0,0.5
1659,0.0,0.6666666666666666,0.5
1657,0.0,0.8,0.4
2170,1.0,0.75,0.25
1529,1.0,0.45454545454545453,0.45454545454545453
2258,1.0,0.6,0.4666666666666667
2016,1.0,0.6428571428571429,0.35714285714285715
2236,1.0,0.5,0.4166666666666667
1573,1.0,0.3333333333333333,0.5
1012,1.0,0.5,0.75
2247,1.0,0.0,1.0
2031,1.0,0.6666666666666666,0.6666666666666666
2246,1.0,0.6666666666666666,0.3333333333333333
2023,1.0,0.7142857142857143,0.5714285714285714
2128,1.0,0.5,1.0
2245,1.0,0.0,1.0
2308,1.0,0.5,0.5
1976,1.0,0.6,0.4
1087,1.0,0.5,0.75
2368,1.0,0.5,0.5
2038,1.0,0.4,0.6
914,1.0,0.75,0.35
1628,1.0,0.5833333333333334,0.25
963,1.0,0.8235294117647058,0.4117647058823529
676,1.0,0.8333333333333334,0.6666666666666666
2262,1.0,0.6666666666666666,0.4444444444444444
2265,1.0,0.0,1.0
1269,1.0,0.14285714285714285,0.0
184,1.0,0.375,0.0
2273,0.0,0.3888888888888889,0.0
1158,0.0,0.14285714285714285,0.0
1140,0.0,0.14285714285714285,0.0
1997,1.0,0.2857142857142857,0.0
1816,0.0,0.3333333333333333,0.0
1162,1.0,0.4444444444444444,0.0
1172,1.0,0.5,0.0
2155,1.0,0.5833333333333334,0.0
639,1.0,0.625,0.0
1024,1.0,0.5,0.0
2255,1.0,0.3333333333333333,0.0
1426,1.0,0.4,0.0
841,0.0,0.5,0.0
896,0.0,0.0,0.0
476,1.0,0.0,0.0
1560,0.0,0.5,0.25
1908,1.0,0.0,0.0
2299,1.0,0.5555555555555556,0.1111111111111111
980,0.0,0.3333333333333333,0.0
976,0.0,0.3333333333333333,0.0
629,0.0,0.2857142857142857,0.0
455,1.0,0.0,0.0
624,1.0,0.2857142857142857,0.14285714285714285
1076,1.0,0.25,0.25
1785,1.0,0.75,0.75
654,1.0,0.8571428571428571,0.6428571428571429
974,1.0,0.75,0.75
1759,1.0,1.0,0.4444444444444444
2290,0.0,1.0,0.5
2092,1.0,0.8181818181818182,0.2727272727272727
1650,1.0,0.8888888888888888,0.2222222222222222
1709,1.0,1.0,0.3333333333333333
2147,1.0,1.0,0.3333333333333333
2075,1.0,0.9,0.5
1791,0.0,0.6666666666666666,0.16666666666666666
2078,1.0,0.6666666666666666,0.3333333333333333
2086,1.0,1.0,1.0
1689,1.0,0.6,0.4
958,1.0,1.0,1.0
1335,1.0,1.0,1.0
1544,1.0,1.0,1.0
1708,1.0,1.0,0.0
1607,1.0,1.0,1.0
2365,1.0,1.0,0.16666666666666666
1774,1.0,1.0,0.2
2101,1.0,1.0,0.0
2297,1.0,1.0,0.75
1701,1.0,1.0,1.0
2232,1.0,1.0,1.0
1297,0.0,0.0,0.0
1098,0.0,0.0,0.0
1810,0.0,0.0,0.0
212,0.0,0.0,0.0
918,0.0,0.0,0.0
1265,0.0,0.0,0.0
1387,0.0,0.0,0.0
1695,0.0,0.0,0.0
1595,0.0,0.0,0.0
1077,0.0,0.0,0.0
2339,0.0,1.0,0.0
931,1.0,1.0,0.6666666666666666
984,1.0,1.0,1.0
1374,1.0,1.0,1.0
978,1.0,0.0,0.0
1043,1.0,1.0,1.0
2025,1.0,1.0,0.0
661,1.0,1.0,1.0
854,0.0,0.0,0.0
888,1.0,0.0,0.0
224,0.0,0.0,0.0
2264,1.0,1.0,1.0
